text,intent
C'est possible de payer en plusieurs fois ?,info_practical
Pouvez-vous me donner un rdv pour mon rappel ?,book_appointment
Il faut une ordonnance pour cet examen ?,info_practical
C'est pour une annulation de rdv.,cancel_appointment
Mon enfant a bu un produit ménager il vomit du sang.,medical_urgency
Vous travaillez pour qui ?,off_topic
Est-ce qu'on peut se voir lundi prochain ?,book_appointment
Je dois annuler car je suis malade.,cancel_appointment
C'est quoi votre couleur préférée ?,off_topic
J'ai besoin d'une date pour une échographie de contrôle.,book_appointment
Est-ce que je peux passer vendredi vers 10h ?,book_appointment
Au secours mon voisin a fait une chute de 3 mètres.,medical_urgency
Donnez-moi l'adresse exacte du cabinet s'il vous plaît.,info_practical
Y a-t-il un dentiste disponible pour une urgence dentaire ?,book_appointment
Vous avez un créneau libre pour un test de dépistage ?,book_appointment
Il a avalé de la javel vite !,medical_urgency
Quel temps fait-il à Paris ?,off_topic
J'aime bien les chats.,off_topic
Il a le visage tout déformé et il n'arrive plus à parler.,medical_urgency
Il ne respire plus je commence le massage cardiaque.,medical_urgency
J'ai une douleur en coup de poignard dans le ventre.,medical_urgency
J'ai bu du poison par erreur.,medical_urgency
C'est la vie.,off_topic
Je ne décale pas je veux juste annuler.,cancel_appointment
Il a une douleur insupportable au ventre il hurle.,medical_urgency
C'est pour programmer une extraction de dent de sagesse.,book_appointment
J'ai un imprévu familial j'annule.,cancel_appointment
Enlevez-moi du planning svp.,cancel_appointment
Tu as quel âge ?,off_topic
Il a une fracture ouverte on voit l'os.,medical_urgency
Est-ce que vous faites le tiers payant ?,info_practical
Veuillez retirer mon créneau de 8h.,cancel_appointment
Avez-vous des disponibilités entre midi et deux ?,book_appointment
C'est ouvert à quelle heure le samedi matin ?,info_practical
Je décommande le pédiatre.,cancel_appointment
Je voudrais planifier mon opération des amygdales.,book_appointment
Est-ce que tu m'aimes ?,off_topic
Quels sont vos jours de fermeture ?,info_practical
Je veux voir le remplaçant du docteur.,book_appointment
En fait je ne peux pas venir lundi.,cancel_appointment
Faites-vous des téléconsultations ?,info_practical
Je souhaite annuler la consultation prévue.,cancel_appointment
Je vais aller faire des courses.,off_topic
Avez-vous un trou dans votre agenda aujourd'hui ?,book_appointment
Je veux écouter de la musique.,off_topic
J'ai reçu un coup de couteau au ventre.,medical_urgency
Supprimez le rendez-vous de monsieur Durand.,cancel_appointment
Ça dure combien de temps la séance ?,info_practical
J'annule tout.,cancel_appointment
Il fait beau aujourd'hui.,off_topic
Le docteur est conventionné secteur 1 ou 2 ?,info_practical
Est-ce qu'il y a de l'attente en général ?,info_practical
Je ne viendrai pas finalement.,cancel_appointment
C'est quoi la racine carrée de 144 ?,off_topic
Comment on fait un noeud de cravate ?,off_topic
Je ne pourrai pas être là pour ma consultation.,cancel_appointment
Je ressens une brûlure immense je ne supporte plus la douleur.,medical_urgency
Vous acceptez encore des nouveaux patients ?,info_practical
Je cherche un créneau pour mon fils samedi matin.,book_appointment
Il a une réaction allergique grave aux arachides.,medical_urgency
Je perds énormément de sang par le nez et la bouche.,medical_urgency
Il a les lèvres violettes et il tremble.,medical_urgency
Comment on vient chez vous en transports ?,info_practical
Puis-je avoir une facture ?,info_practical
C'est quoi le tarif pour une consultation simple ?,info_practical
J'ai un contretemps au travail je serai absent.,cancel_appointment
C'est une overdose il ne respire presque plus.,medical_urgency
Je n'ai plus besoin de cette consultation.,cancel_appointment
Est-ce que vous faites des facilités de paiement ?,info_practical
Je me sens mieux donc je ne viens pas.,cancel_appointment
Une bonne série sur Netflix ?,off_topic
Quels sont les modes de paiement acceptés ?,info_practical
J'ai une douleur fulgurante dans le bras gauche.,medical_urgency
C'est pour un rdv de suivi pédiatrique.,book_appointment
Je veux une recette de crêpes.,off_topic
Je dois annuler car j'ai raté mon train.,cancel_appointment
Il pisse du sang c'est une urgence.,medical_urgency
Combien coûte une consultation vidéo ?,info_practical
Bla bla bla.,off_topic
Merci de ne pas compter sur moi demain.,cancel_appointment
C'est qui Michael Jackson ?,off_topic
Je libère mon créneau pour quelqu'un d'autre.,cancel_appointment
Je saigne énormément de la tête après une chute.,medical_urgency
Vous pouvez libérer ma place pour jeudi ?,cancel_appointment
J'ai une hémorragie qui ne s'arrête pas.,medical_urgency
Annulez tout pour moi cette semaine.,cancel_appointment
Prenez-moi un rdv pour une prise de sang demain matin.,book_appointment
Mon dos est bloqué il me faut un ostéo.,book_appointment
Je voudrais réserver un passage avec l'infirmière.,book_appointment
Vous avez un site internet ?,info_practical
Allô vous m'entendez bien ?,off_topic
Bonne année.,off_topic
Est-ce que je peux venir pour une consultation sans rdv ?,book_appointment
